trial_number,image_width,image_height,number_of_iter,duration_ms,render_output_image
1,32,32,5,1517.4849033355713,False
2,32,32,5,1519.657850265503,False
1,64,64,5,6661.552906036377,False
2,64,64,5,6278.941869735718,False
1,128,128,5,25309.33666229248,False
2,128,128,5,25855.043172836304,False
1,256,256,5,107602.91409492493,False
2,256,256,5,108908.64181518555,False
